Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
 Afghanistan,,,0.6,4.9,7.2,7.6,7.9,8.1,8.3,8.3 vvv
 Albania,11.3,10.1,10.6,11.4,13.6,14.4,14.4,14.4,14.4,14.4 qqq
 Algeria,,,11,12.4,14.2,14.6,14.6,14.6,14.6,14.6 qqq
 Angola,,3.5,4.5,6.4,8.2,7.9,8.7,8.7,8.7,8.7 qqq
 Antigua and Barbuda,,,,15.2,14.2,13.7,14.6,14.6,14.6,14.6 qqq
 Argentina,,14,16.3,16.9,18.1,18.4,18.4,18.4,18.4,18.4 qqq
 Armenia,,10.6,11.5,12.9,13.8,13.8,13.8,13.8,13.8,13.8 qqq
 Australia,17.3,18.8,21,20.6,20.3,20.7,20.9,20.9,20.9,20.9 qqq
 Austria,13.5,14.5,15.5,15.2,15.9,15.9,16,16.2,16.2,16.2 qqq
 Azerbaijan,10.4,10.3,10.4,11.2,11.5,11.6,11.8,12.1,12.6,12.6 qqq
 Bahamas,12.5,12.1,12.4,,,,,,,
 Bahrain,13.7,14.1,13.9,14.4,14.9,15,15.1,15.1,15.1,15.1 qqq
 Bangladesh,4.7,6,7.3,8.5,9.6,10.1,10.2,10.3,10.4,10.4 qqq
 Barbados,12.7,13.8,14.9,15.9,16.8,16.7,16.7,16.7,16.7,16.7 qqq
 Belarus,,12.5,13.5,15,16.1,16.2,16.3,16.2,16.1,16.1 qqq
 Belgium,14.1,17.5,18.9,16,16.4,16.5,16.7,16.7,16.7,16.7 qqq
 Belize,,,11.9,12.4,12.7,12.8,13.2,13,13,13.0 qqq
 Benin,,4.3,4.9,7,9,9.4,10,10.5,10.5,10.5 qqq
 Bhutan,,5.8,7,9.3,11.9,12.4,12.7,12.6,12.6,12.6 qqq
 Bolivia (Plurinational State of),,,,14,13.5,13.5,13.5,13.5,13.5,13.5 qqq
 Bosnia and Herzegovina,,,,13.1,13.8,14.3,14.6,14.8,14.8,14.8 qqq
 Botswana,10.3,10.8,11.9,11.9,12.5,12.7,12.8,12.8,12.8,12.8 qqq
 Brazil,,,14.5,14.1,14.4,14.6,14.7,15.7,15.7,15.7 qqq
 Brunei Darussalam,12.3,13,13.5,14.5,14.4,14.6,15.3,15.4,15.4,15.4 qqq
 Bulgaria,12.1,12.5,13.2,13.5,14.5,14.6,14.6,15,15.3,15.3 qqq
