Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
 Afghanistan,,,7.5,11.2,11.6,11.8,12.2,12.7,13.1,13.1 vvv
 Albania,11.9,10.3,10.7,11.3,13,14,14,14,14,14.0 qqq
 Algeria,,,10.9,12.1,13.8,14.1,14.1,14.1,14.1,14.1 qqq
 Angola,,4.3,5.6,8.1,10.6,12.8,14,14,14,14.0 qqq
 Antigua and Barbuda,,,,14.1,13.9,13.8,13.3,13.3,13.3,13.3 qqq
 Argentina,,12.7,14.9,15.3,16.1,16.1,16.2,16.1,16.1,16.1 qqq
 Armenia,,9.8,10.6,11.1,11.4,11.4,11.4,11.4,11.4,11.4 qqq
 Australia,17.4,18.8,20.1,20,19.2,19.5,19.8,20,20,20.0 qqq
 Austria,14.4,15.2,15.5,14.9,15.4,15.4,15.4,15.6,15.6,15.6 qqq
 Azerbaijan,10.9,9.7,10.3,11.6,11.8,11.9,12,12.3,12.7,12.7 qqq
 Bahamas,11.8,11.4,11.7,,,,,,,
 Bahrain,13.1,13.3,12.9,13.2,13.6,13.6,13.7,13.7,13.7,13.7 qqq
 Bangladesh,6.6,7.2,7.8,8.3,9.2,9.6,9.7,9.8,9.9,9.9 qqq
 Barbados,12.9,13.2,13.2,13.8,14.1,13.9,13.9,13.9,13.9,13.9 qqq
 Belarus,,11.9,12.8,14,14.9,15,15.2,15.1,15.1,15.1 qqq
 Belgium,14.1,17.1,17.7,15.5,15.7,15.9,15.9,15.9,15.9,15.9 qqq
 Belize,,,11.7,12.2,12.2,12.2,12.6,12.5,12.5,12.5 qqq
 Benin,,7.5,8.3,10.4,12.3,12.7,13.2,13.7,13.7,13.7 qqq
 Bhutan,,7.1,8.3,9.9,11.9,12.2,12.5,12.4,12.4,12.4 qqq
 Bolivia (Plurinational State of),,,,14.6,14.1,14.1,14.1,14.1,14.1,14.1 qqq
 Bosnia and Herzegovina,,,,12.4,13,13.5,13.8,14,14,14.0 qqq
 Botswana,9.6,10.5,11.8,11.9,12.3,12.4,12.5,12.5,12.5,12.5 qqq
 Brazil,,,14.2,13.5,13.5,13.7,13.7,14.7,14.7,14.7 qqq
 Brunei Darussalam,12,12.7,13.2,14.1,13.9,14.2,14.6,14.6,14.6,14.6 qqq
 Bulgaria,12.1,11.7,12.7,13.5,13.9,14.1,14.2,14.6,14.8,14.8 qqq
 Burkina Faso,3,3.7,4.2,5.3,7.2,7.7,7.9,8.1,8.1,8.1 qqq
 Burundi,5,5.5,5.9,6.6,10.5,10.8,10.9,11.1,11.1,11.1 qqq
 Cabo Verde,,,10.6,11,12.4,12.7,12.8,13.2,13.1,13.1 qqq
 Cambodia,,7.9,8.4,10.8,11.3,11.4,11.5,11.6,11.7,11.7 qqq
 Cameroon,,,7.7,9,10.9,11.3,11.3,11.3,11.3,11.3 qqq
 Canada,16.2,16.6,15.4,15.4,15.5,15.5,15.5,15.5,15.9,15.9 qqq
 Central African Republic,6.7,5.7,6.5,7.2,8.1,8.3,8.4,8.4,8.4,8.4 qqq
 Chad,,4.8,6.3,6.9,8.1,8.8,8.8,8.8,8.8,8.8 qqq
 Chile,13,12.6,13.9,15.1,15.3,15.4,15.3,16,16.1,16.1 qqq
 China,9.3,9.5,10.1,11.2,12.8,13,13.2,13.5,13.4,13.4 qqq
 Colombia,8.6,9.7,11.2,12.6,14,14.2,13.8,14.2,14,13.3 qqq
 Comoros,,8.7,9.2,10.6,11,11.1,11.2,11.3,11.3,11.3 qqq
 Congo,12,11.2,10.4,10.2,11,11.2,11.3,11.3,11.3,11.3 qqq
 Congo (Democratic Republic of the),,,,8.7,10.1,10.4,10.1,10,10,10.0 qqq
